City,Latitude,Longitude
Guntur,16.323,80.5214
Vishakapatnam,17.7096,83.3009
Hyderabad,17.3875,78.4711
Chennai,12.9994,80.4047
Bengalore,12.7423,77.6801
Mumbai,18.8285,72.8461
Delhi,28.6281,77.2406
Ahmedabad,22.9333,72.7582
Pune,18.412,73.9008
Kolkata,22.571,88.3703
Lucknow,26.7973,80.9554
Jaipur,26.9149,75.7699
Ranchi,23.2542,85.3499
Itanagar,27.1009,93.6282
Dispur,26.1425,91.7882
Patna,25.6112,85.1306
Raipur,21.2456,81.6421
Panaji,15.4834,73.8223
Gandhinagar,23.2237,72.6477
Chandigarh,30.7279,76.7778
Shimla,31.1991,77.6307
Thiruvananthapuram,8.5307,76.9296
Bhopal,23.2523,77.4311
Imphal,24.8022,93.9386
Shillong,25.5762,91.8829
Aizawl,23.7293,92.7179
Kohima,25.7683,94.1071
Bhubaneswar,20.2733,85.8331
Gangtok,27.3307,88.6123
Agartala,23.834,91.2822
Dehradun,30.3165,78.0323
